group_label,season,sample_size,num_poly_2R,raw_r2,adjusted_r2,Ne
2012_07,Wet,99,1546,0.0104,0,NA
2014_07,Wet,74,1565,0.0141,0,NA
2014_10,Transition,94,1558,0.011,0,NA
2015_01/02,Dry,27,1596,0.0415,1.00E-04,3331.3
2015_07,Wet,113,1545,0.0092,1.00E-04,3331.3
2016_06,Wet,12,1614,0.1192,0.0138,21.9
2016_10,Transition,91,1547,0.0113,0,NA
2017_04,Dry,37,1567,0.0295,1.00E-04,3331.3
2017_08,Wet,11,1590,0.1211,0.0038,85.6
2018_10,Transition,13,1565,0.0977,0.002,164.6
,,,,,,
,,,,,,
,,,,,Dry mean,1.00E-04
,,,,,Dry max,-1.00E-04
,,,,,Wet mean,6.95E-03
,,,,,Wet max,1.38E-02
