time0,timet,S0,St,t,K,Fc,Fc_lower,Fc_upper,Ne,Ne_lower,Ne_upper
"2014-07","2014-10",74,94,3,4379,0.0107,0.0094,0.0123,-1090.19099761775,6868.81434137424,-557.691333949101
"2014-07","2015-01",74,16,6,4321,0.03,0.0263,0.0345,-374.683544303797,-856.495502800718,-256.118096027943
"2014-07","2015-02",74,11,7,4149,0.0419,0.0366,0.0483,-339.433364310053,-901.79600892554,-224.614719875243
"2014-07","2015-07",74,113,12,4373,0.0104,0.0091,0.012,-7677.1942710246,7800.09611787502,-2913.67991139054
"2014-07","2016-06",74,12,23,4157,0.0407,0.0356,0.0469,-1488.97702087951,-7757.63997835819,-895.635198319297
"2014-07","2016-10",74,91,27,4356,0.0112,0.0098,0.0129,-12841.7052774325,21683.6854822019,-5555.90707580534
"2014-07","2017-04",74,37,33,4362,0.0184,0.0161,0.0211,-8822.25433526011,18802.5945491454,-3991.61024921522
"2014-07","2017-08",74,11,37,4122,0.0421,0.0368,0.0486,-1829.63574952008,-5104.1859374282,-1199.36398747064
"2014-07","2018-08",74,5,49,4126,0.0741,0.0648,0.0855,-750.22759248531,-1153.02187321139,-583.292700757686
"2014-07","2018-10",74,13,51,4211,0.0342,0.0299,0.0394,-2314.33261632514,-4388.01103585752,-1667.46536639894
"2014-07","2019-08",74,7,61,4282,0.0568,0.0498,0.0654,-1426.21145374449,-2379.45761575088,-1072.8153416053
"2014-07","2019-10",74,9,63,4355,0.0482,0.0423,0.0554,-2232.09345873941,-4559.41657970561,-1571.45267802101
"2014-10","2015-01",94,16,3,4323,0.0282,0.0247,0.0324,-179.229693657048,-362.732019985104,-126.546575460449
"2014-10","2015-02",94,11,4,4145,0.0416,0.0364,0.048,-218.014674875601,-718.270603635238,-138.789383529105
"2014-10","2015-07",94,113,9,4401,0.0085,0.0075,0.0098,-3617.57360175585,240028.457180828,-1969.38786981542
"2014-10","2016-06",94,12,20,4173,0.0387,0.0338,0.0446,-1206.88179405975,-4227.17420198388,-760.948952730373
"2014-10","2016-10",94,91,24,4387,0.0091,0.008,0.0105,-7002.57869100733,-33445.5975600093,-4239.88699278631
"2014-10","2017-04",94,37,30,4381,0.0177,0.0155,0.0203,-13243.1334721023,9969.3537307953,-4537.36706819822
"2014-10","2017-08",94,11,34,4117,0.0411,0.0359,0.0474,-1757.34309079639,-5096.16381535747,-1143.66837712494
"2014-10","2018-08",94,5,46,4160,0.0729,0.0637,0.0841,-709.457242239286,-1082.83564994903,-553.099770037241
"2014-10","2018-10",94,13,48,4237,0.0329,0.0288,0.0379,-2205.74299423895,-4076.56200253546,-1601.92274086248
"2014-10","2019-08",94,7,58,4294,0.0546,0.0478,0.0628,-1309.38983888233,-2082.58782494673,-1003.08498370264
"2014-10","2019-10",94,9,60,4351,0.047,0.0412,0.054,-2162.2082126427,-4382.65429900812,-1525.67251874641
"2015-01","2015-02",16,11,1,4107,0.0554,0.0484,0.064,-23.4691700448048,-39.2226499790796,-17.6612320169968
"2015-01","2015-07",16,113,6,4326,0.0283,0.0248,0.0325,-406.791864162717,-958.725396182292,-276.011208320843
"2015-01","2016-06",16,12,17,4146,0.0536,0.0469,0.0618,-440.034512510785,-766.844080431499,-326.122037735165
"2015-01","2016-10",16,91,21,4316,0.0295,0.0259,0.0339,-1449.37428896473,-3733.91376425791,-964.043802474447
"2015-01","2017-04",16,37,27,4348,0.0345,0.0303,0.0397,-1315.33903884134,-2645.2259577743,-930.219346033485
"2015-01","2017-08",16,11,31,4091,0.0554,0.0484,0.064,-727.544271388948,-1217.22764498421,-547.318299092011
"2015-01","2018-08",16,5,43,4162,0.082,0.0717,0.0946,-436.548223350254,-586.054751618429,-361.029377404663
"2015-01","2018-10",16,13,45,4189,0.0485,0.0424,0.0559,-1060.74342701723,-1629.96605521899,-824.511277863092
"2015-01","2019-08",16,7,55,4296,0.0662,0.058,0.0762,-753.867241041708,-1037.38827157631,-615.508458120741
"2015-01","2019-10",16,9,57,4355,0.061,0.0535,0.0701,-1104.41334768568,-1707.70651737638,-855.498374161241
"2015-02","2015-07",11,113,5,4145,0.0412,0.036,0.0475,-288.040858700085,-1063.13734083372,-180.302308474135
"2015-02","2016-06",11,12,16,3962,0.0651,0.0567,0.0754,-363.286087794138,-679.969839657499,-263.259932214416
"2015-02","2016-10",11,91,20,4135,0.0412,0.036,0.0475,-1025.74086977907,-2931.60441221203,-669.247727740465
"2015-02","2017-04",11,37,26,4132,0.0482,0.0421,0.0556,-1207.27422078218,-3876.80889283818,-771.811964791245
"2015-02","2017-08",11,11,30,3918,0.0642,0.0559,0.0744,-561.606535057862,-907.172404716522,-428.567490736035
"2015-02","2018-08",11,5,42,3948,0.0904,0.0788,0.1047,-381.439894319683,-514.847754896789,-314.89351944334
"2015-02","2018-10",11,13,44,4011,0.0587,0.0512,0.0679,-872.459025486009,-1372.43260041196,-672.382042933014
"2015-02","2019-08",11,7,54,4076,0.0822,0.0718,0.0949,-778.476746798472,-1230.8961487962,-598.497119205753
"2015-02","2019-10",11,9,56,4160,0.0708,0.0619,0.0817,-926.842316437074,-1446.76695029373,-715.915390522233
"2015-07","2016-06",113,12,11,4174,0.0396,0.0346,0.0457,-847.268926656367,-12684.5601025572,-479.928584666238
"2015-07","2016-10",113,91,15,4385,0.0091,0.008,0.0105,-9154.33190499365,14003.5478901427,-3874.17918521137
"2015-07","2017-04",113,37,21,4376,0.0162,0.0142,0.0186,-6040.41112853958,15502.5099516468,-2816.08489355252
"2015-07","2017-08",113,11,25,4122,0.0416,0.0363,0.048,-1509.7850590796,-6686.14096672965,-923.88941188726
"2015-07","2018-08",113,5,37,4159,0.0744,0.065,0.0858,-616.157745814666,-993.761105443981,-469.80522527391
"2015-07","2018-10",113,13,39,4236,0.0322,0.0282,0.0371,-1824.76334866418,-3362.54106618133,-1326.49777635914
"2015-07","2019-08",113,7,49,4292,0.0559,0.049,0.0643,-1227.8639810937,-2125.19882067024,-911.395135037087
"2015-07","2019-10",113,9,51,4348,0.0461,0.0404,0.053,-1837.13154296806,-3650.4684426602,-1303.79823248489
"2016-06","2016-10",12,91,4,4162,0.0392,0.0343,0.0452,-251.219287751909,-1023.03699446651,-155.207174498464
"2016-06","2017-04",12,37,10,4186,0.046,0.0402,0.053,-544.651619234544,-2320.78473924931,-334.576419095353
"2016-06","2017-08",12,11,14,3965,0.0649,0.0566,0.0751,-315.014318832674,-583.075001593024,-229.081585342843
"2016-06","2018-08",12,5,26,4004,0.0906,0.079,0.1048,-254.569190600522,-352.527052273782,-207.483460186881
"2016-06","2018-10",12,13,28,4063,0.0585,0.0511,0.0676,-647.302904564316,-1116.34043369591,-481.747626177673
"2016-06","2019-08",12,7,38,4121,0.0725,0.0633,0.0837,-468.035190615836,-645.7239572406,-381.943072683118
"2016-06","2019-10",12,9,40,4202,0.0736,0.0644,0.0848,-846.660395108185,-1613.05762605476,-609.146986272088
"2016-10","2017-04",91,37,6,4347,0.0175,0.0153,0.0201,-1989.36484490399,2699.40357207258,-818.607664119864
"2016-10","2017-08",91,11,10,4108,0.0427,0.0373,0.0493,-606.13033315975,-3013.58825406466,-366.422610750266
"2016-10","2018-08",91,5,22,4130,0.0741,0.0648,0.0855,-350.379782281494,-550.378068170157,-270.000439082384
"2016-10","2018-10",91,13,24,4210,0.0332,0.0291,0.0383,-1115.65181855333,-2104.78706132765,-805.075279088073
"2016-10","2019-08",91,7,34,4275,0.057,0.0499,0.0656,-853.281853281854,-1502.78918016239,-629.596163022022
"2016-10","2019-10",91,9,36,4333,0.048,0.0421,0.0552,-1379.30389221557,-3074.55289020174,-948.709923358455
"2017-04","2017-08",37,11,4,4146,0.0444,0.0388,0.0512,-137.286649126358,-258.104938764304,-99.2203554604728
"2017-04","2018-08",37,5,16,4179,0.0768,0.0672,0.0885,-217.903415783274,-320.449129412243,-172.60137593387
"2017-04","2018-10",37,13,18,4231,0.0399,0.0349,0.046,-745.338406707873,-1496.38050832734,-527.791724590045
"2017-04","2019-08",37,7,28,4298,0.0616,0.054,0.0709,-599.775043006484,-995.367952308081,-452.017706209321
"2017-04","2019-10",37,9,30,4382,0.051,0.0447,0.0586,-830.147914242978,-1432.64486585059,-616.500309277205
"2017-08","2018-08",11,5,12,3954,0.0907,0.079,0.105,-109.579943549726,-148.318568079546,-90.3345054309818
"2017-08","2018-10",11,13,14,4006,0.0602,0.0525,0.0696,-295.158341687798,-489.675156253957,-222.850212170373
"2017-08","2019-08",11,7,24,4090,0.0778,0.0679,0.0898,-307.037947763674,-443.671789736976,-245.22322546558
"2017-08","2019-10",11,9,26,4145,0.0705,0.0616,0.0813,-426.088395960934,-660.495210828535,-330.077601720722
"2018-10","2019-08",13,7,10,4177,0.0702,0.0614,0.0809,-125.975967661554,-172.704421556314,-103.096885860071
"2018-10","2019-10",13,9,12,4262,0.0658,0.0576,0.0758,-212.637063064155,-328.560551846936,-164.841068107124
